"estimador","tipo","tau_hat","se","t_value","p_value","ci_low95","ci_high95"
"Naive (OLS)","Antes de PSM",0.309600278926958,0.053010330219038,5.84037635018862,5.51908706106072e-09,0.205678149857096,0.41352240799682
"ATT (PSM nearest)","Emparejado",-0.210033879308336,0.402226042658158,-0.522178718017119,0.602635453193077,-1.00748613009317,0.587418371476501
"ATT (IPW)","Ponderado",-0.158453212260861,0.160712448217433,-0.985942371100494,0.325522580905853,-0.475637302853986,0.158730878332263
