"w.weights","unit.names","unit.numbers"
0,1,1
0,2,2
0.351,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,9,9
0.302,10,10
0,11,11
0,12,12
0,13,13
0.346,14,14
0,15,15
